filename,status,adsorptionUnits_orig,pressureUnits_orig,ads_factor,pres_factor,coherence_fixes
10.1021ic502116k.Isotherm10,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1021ic502116k.Isotherm7,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1021Ic900486r.Isotherm10,processed,mmol/g,bar,0.6233248145608677,1.0,
10.1021Ic900486r.Isotherm11,processed,mmol/g,bar,0.6233248145608677,1.0,
10.1021Ic900486r.Isotherm12,processed,mmol/g,bar,0.6233248145608677,1.0,
10.1021Ja060946u.Isotherm5,processed,mmol/g,bar,0.6233248145608677,1.0,
10.1021Ja106903p.Isotherm10,processed,mmol/g,bar,1.0,1.0,
10.1021ja206525x.isotherm4,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1021Ja4045289.isotherm17,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1021Ja4045289.isotherm26,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1021Ja4045289.isotherm28,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1021Ja4045289.isotherm40,processed,mmol/g,bar,62.33248145608677,1.0,
10.1021Ja4045289.isotherm6,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1021ja5131403.Isotherm5,processed,mmol/g,bar,1.0,1.0,
10.1021Ja804936z.Isotherm3,processed,mmol/g,bar,1.0,1.0,
10.1021Ja900555r.isotherm2,processed,mmol/g,bar,1.0,1.0,
10.1021Ja902740r.Isotherm4,processed,mmol/g,bar,1.0,1.0,
10.1021jacs.5b07053.Isotherm39,processed,mmol/g,bar,1.0,1.0,
10.1021jacs.5b07053.Isotherm40,processed,mmol/g,bar,1.0,1.0,
10.1021jp304631m.Isotherm30,processed,mmol/g,bar,0.0446149727848666,1.0,PSI->bar
10.1021jp304631m.Isotherm31,processed,mmol/g,bar,0.0446149727848666,1.0,PSI->bar
10.1021jp304631m.Isotherm39,processed,mmol/g,bar,0.0446149727848666,1.0,PSI->bar
10.1021jp304631m.Isotherm40,processed,mmol/g,bar,0.0446149727848666,1.0,PSI->bar
10.1021Jp401923v.isotherm11,processed,mmol/g,bar,1.0,1.0,
10.1021Jp401923v.isotherm13,processed,mmol/g,bar,1.0,1.0,
10.1021jp512596u.Isotherm2,processed,mmol/g,bar,1.0,1.0,
10.1021jp512596u.Isotherm5,processed,mmol/g,bar,1.0,1.0,
10.1021La100423a.isotherm12,processed,mmol/g,bar,0.6233248145608677,1.0,
10.1021la800803w.Isotherm22,processed,mmol/g,bar,1.0,1.0,
10.1021La803788u.Isotherm2,processed,mmol/g,bar,1.0,1.0,
10.1038Nchem.1457.Isotherm19,processed,mmol/g,bar,1.0,1.0,
10.1038Nchem.1457.Isotherm2,processed,mmol/g,bar,1.0,1.0,
10.1038Nchem.1457.Isotherm31,processed,mmol/g,bar,1.0,1.0,
10.1038nchem.2114.Isotherm4,processed,mmol/g,bar,1.0,1.0,
10.1038ncomms9697.Isotherm4,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1038Nmat1927.isotherm5,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1038nmat4113.Isotherm11,processed,mmol/g,bar,1.0,1.0,
10.1039B900085b.isotherm7,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1039B917046d.isotherm4,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1039B925903a.Isotherm4,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1039B927486C.Isotherm5,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1039B927499e.isotherm10,processed,mmol/g,bar,1.0,1.0,
10.1039B927499e.isotherm2,processed,mmol/g,bar,1.0,1.0,
10.1039C002767g.Isotherm5,processed,mmol/g,bar,1.0,1.0,
10.1039C0cc05199c.Isotherm30,processed,mmol/g,bar,0.0446149727848666,1.0,
10.1039C1cc10897b.isotherm3,processed,mmol/g,bar,0.0446149727848666,1.0,
